generation;mean_p;mean_t;meanfrs;meanmrs;varp;vart;covpt;varfrs;varmrs;surviving_males;surviving_females;N;
96060;0.00371716;-0.12738;10;9.84524;0.00807438;0.00641664;-0.000236152;0;100.492;2476;2481;5000;
96070;0.00738639;-0.121484;10;9.83833;0.00894502;0.00617139;-0.000187336;0;102.3;2468;2495;5000;
96080;0.00380214;-0.137423;9.62745;9.79592;0.00917544;0.0068513;-8.9359e-05;3.5867;97.5094;2506;2455;5000;
96090;0.00689194;-0.139551;9.89575;9.84836;0.0089105;0.00623901;-0.000109069;1.03163;98.4606;2494;2468;5000;
96100;0.00120493;-0.130693;10;9.98809;0.00898855;0.00605886;0.000144352;0;105.6;2449;2515;5000;
96110;-0.0081396;-0.138487;10;9.54228;0.00805043;0.00642521;-0.000102069;0;98.6268;2510;2460;5000;
96120;-0.010755;-0.138998;9.84236;9.63975;0.00877415;0.00650718;5.58153e-05;1.55154;98.5638;2518;2435;5000;
96130;-0.00835995;-0.136863;9.98789;9.80579;0.00931494;0.00615372;0.000293222;0.120968;96.1573;2481;2474;5000;
96140;-0.00614771;-0.135731;9.88353;9.80478;0.00952931;0.00580186;1.24756e-05;1.15109;97.0535;2488;2461;5000;
96150;-0.00699479;-0.139147;9.84921;10.0081;0.0106973;0.00602943;0.000234582;1.4852;101.532;2483;2482;5000;
96160;-0.00383525;-0.140266;10;10.0394;0.0105986;0.0058203;0.00031835;0;103.509;2413;2545;5000;
96170;-0.00769302;-0.139137;10;9.9165;0.0104933;0.00551479;4.18234e-05;0;99.834;2460;2494;5000;
96180;0.00194592;-0.135141;10;9.70485;0.0113023;0.00545091;2.23182e-05;0;101.272;2448;2499;5000;
96190;-0.00210145;-0.136178;9.89336;9.41452;0.0109795;0.00544364;-0.000208149;1.05507;97.1592;2540;2412;5000;
96200;-0.00865431;-0.135276;10;10.048;0.0102375;0.00579572;0.000124122;0;106.963;2450;2510;5000;
96210;-0.0102388;-0.131583;10;9.86339;0.00993944;0.00558866;-6.11552e-05;0;101.816;2427;2527;5000;
96220;-0.0182641;-0.133615;9.63139;9.59225;0.00997287;0.00590113;-2.60622e-05;3.55022;98.2189;2530;2430;5000;
